ID,Start time,Completion time,Email,Name,Last modified time,What is your current level of proficiency with R?,What is your current level of proficiency with Python?,Which language would you like to focus on learning?,"Do you have intermediate (or beyond) experience with other programming languages? If so, which one(s)?",Statistical Analysis,Machine Learning,Time Series Analysis,Automation,Big Data Handling,Are you willing to complete assessments and homework assignments?,How much time can you dedicate to workshop activities each week?,Is there anything else you would like to share or suggest regarding the Python & R Data Analytics Workshops?
1,8/29/24 9:13:22,8/29/24 9:15:10,anonymous,,,"Expert (I am proficient in R and can use it for advanced data modeling, automation, and programming)","Advanced (I can perform complex programming tasks and data analysis in Python, including creating custom functions and scripts)",🤩 Both R and Python ,SAS,High Priority,High Priority,High Priority,High Priority,High Priority,Yes,1-2 hours,
2,9/5/24 10:05:11,9/5/24 10:05:44,anonymous,,,Beginner (I have little to no experience with R),Beginner (I have little to no experience with Python),🤩 Both R and Python ,No,High Priority,High Priority,High Priority,High Priority,High Priority,Yes,3-4 hours,eager to start!
3,9/5/24 10:04:55,9/5/24 10:06:39,anonymous,,,Beginner (I have little to no experience with R),Intermediate (I can perform basic programming and data analysis tasks in Python),🤩 Both R and Python ,No,High Priority,Moderate Priority,Moderate Priority,High Priority,Moderate Priority,Yes,1-2 hours,Honestly not sure what the learning items are but excited to learn!!!
4,9/5/24 10:04:55,9/5/24 10:06:55,anonymous,,,Beginner (I have little to no experience with R),Beginner (I have little to no experience with Python),🐍 Python ,No,Top Priority,High Priority,High Priority,Top Priority,Moderate Priority,Yes,3-4 hours,
5,9/5/24 10:06:15,9/5/24 10:07:18,anonymous,,,Beginner (I have little to no experience with R),Beginner (I have little to no experience with Python), 🔢R,No,High Priority,Low Priority,Low Priority,High Priority,High Priority,No,,
6,9/5/24 10:05:24,9/5/24 10:07:42,anonymous,,,Beginner (I have little to no experience with R),"Advanced (I can perform complex programming tasks and data analysis in Python, including creating custom functions and scripts)",🤩 Both R and Python ,"Java, C",Top Priority,High Priority,Top Priority,Low Priority,Moderate Priority,Yes,3-4 hours,Working with comcast as a data set will be really useful and applicable. Happy to help out with the Python workshops if you need! 
7,9/5/24 10:05:12,9/5/24 10:08:57,anonymous,,,Beginner (I have little to no experience with R),Intermediate (I can perform basic programming and data analysis tasks in Python),🐍 Python ,No,Top Priority,High Priority,Top Priority,Top Priority,High Priority,Yes,1-2 hours,
8,9/12/24 10:31:21,9/12/24 10:32:16,anonymous,,,Beginner (I have little to no experience with R),Beginner (I have little to no experience with Python),🤩 Both R and Python ,No,Moderate Priority,Low Priority,Low Priority,High Priority,Top Priority,Yes,1-2 hours,
9,9/12/24 10:33:27,9/12/24 10:36:35,anonymous,,,Beginner (I have little to no experience with R),Beginner (I have little to no experience with Python),🤩 Both R and Python ,No,High Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Yes,1-2 hours,
10,9/12/24 10:38:13,9/12/24 10:40:20,anonymous,,,Advanced (I can perform complex data analysis and create custom functions in R),Intermediate (I can perform basic programming and data analysis tasks in Python),🤩 Both R and Python ,No,Moderate Priority,High Priority,High Priority,High Priority,High Priority,Yes,1-2 hours,
11,9/12/24 10:42:33,9/12/24 10:43:20,anonymous,,,Beginner (I have little to no experience with R),Intermediate (I can perform basic programming and data analysis tasks in Python),🤩 Both R and Python ,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Yes,1-2 hours,
12,9/12/24 10:34:13,9/12/24 11:06:54,anonymous,,,Intermediate (I can perform basic data analysis tasks in R),Intermediate (I can perform basic programming and data analysis tasks in Python),🐍 Python ,No,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,Low Priority,Yes,Less than 1 hour,
13,9/12/24 10:41:09,9/12/24 11:09:01,anonymous,,,Beginner (I have little to no experience with R),Intermediate (I can perform basic programming and data analysis tasks in Python),🐍 Python ,No,Moderate Priority,Moderate Priority,Moderate Priority,High Priority,High Priority,Yes,3-4 hours,
14,9/12/24 13:08:46,9/12/24 13:09:48,anonymous,,,Intermediate (I can perform basic data analysis tasks in R),Intermediate (I can perform basic programming and data analysis tasks in Python),🐍 Python ,No,Moderate Priority,High Priority,High Priority,Moderate Priority,Low Priority,No,,
15,9/12/24 13:28:55,9/12/24 13:30:18,anonymous,,,Beginner (I have little to no experience with R),Beginner (I have little to no experience with Python),🐍 Python ,No,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Moderate Priority,Yes,Less than 1 hour,
